"Region","Local Health Area","Year","Gender","Total","LT1"," 1 to 4"," 5 to 9","10 to 14","15 to 19","20 to 24","25 to 29","30 to 34","35 to 39","40 to 44","45 to 49","50 to 54","55 to 59","60 to 64","65 to 69","70 to 74","75 to 79","80 to 84","85 to 89","90+"
"0","British Columbia",2041,"F",3425420,24403,99229,129843,135541,155462,182608,214612,239390,236355,253280,242801,227434,207191,182274,174354,180102,177234,153200,110011,100096
"0","British Columbia",2041,"T",6725331,50114,204145,267727,279863,319347,373848,431614,476906,470165,512679,496890,456897,409428,351271,328847,336818,330384,277711,191470,159207
"0","British Columbia",2042,"M",3331653,25885,105517,138257,145073,165268,190734,217891,240143,237781,254946,257509,235039,207238,174965,154778,156257,150290,126973,84428,62681
"0","British Columbia",2042,"F",3459454,24568,99803,130194,136249,156780,182255,215002,241480,240187,252176,245334,232007,210971,187924,174119,180212,174467,155390,114095,106241
"0","British Columbia",2042,"T",6791107,50453,205320,268451,281322,322048,372989,432893,481623,477968,507122,502843,467046,418209,362889,328897,336469,324757,282363,198523,168922
"0","British Columbia",2043,"M",3363138,26054,106173,138672,145694,166497,191033,217642,242134,243454,250066,260207,240387,212045,181912,155763,154952,146724,129721,87639,66369
"0","British Columbia",2043,"F",3493121,24729,100426,130585,136837,157956,182409,214894,242510,246017,249233,248957,235561,215222,193924,174600,179024,171332,158154,118066,112685
"0","British Columbia",2043,"T",6856259,50783,206599,269257,282531,324453,373442,432536,484644,489471,499299,509164,475948,427267,375836,330363,333976,318056,287875,205705,179054
"0","British Columbia",2044,"M",3394381,26208,106849,139164,146207,167614,191785,217148,243362,248474,246205,262349,244861,217385,189005,158010,152889,144515,131860,90396,70095
"0","British Columbia",2044,"F",3526418,24875,101070,131053,137321,159025,183316,214460,243065,250364,247368,252698,238604,219700,199706,176324,176497,169440,160597,121338,119597
"0","British Columbia",2044,"T",6920799,51083,207919,270217,283528,326639,375101,431608,486427,498838,493573,515047,483465,437085,388711,334334,329386,313955,292457,211734,189692
"0","British Columbia",2045,"M",3425405,26337,107515,139754,146633,168618,192769,216136,244939,252515,243635,263591,248716,222804,195685,161674,150779,143827,132287,92988,74203
"0","British Columbia",2045,"F",3559320,24998,101704,131610,137722,159985,184749,213747,243487,253779,245862,256441,241076,224713,204415,179724,173917,169477,160775,124307,126832
"0","British Columbia",2045,"T",6984725,51335,209219,271364,284355,328603,377518,429883,488426,506294,489497,520032,489792,447517,400100,341398,324696,313304,293062,217295,201035
