"Region","Local Health Area","Year","Gender","Total","LT1"," 1 to 4"," 5 to 9","10 to 14","15 to 19","20 to 24","25 to 29","30 to 34","35 to 39","40 to 44","45 to 49","50 to 54","55 to 59","60 to 64","65 to 69","70 to 74","75 to 79","80 to 84","85 to 89","90+"
"0","British Columbia",1997,"M",1965474,23294,99789,130507,135164,133713,133130,149774,165897,174688,163698,148869,118268,90527,79367,74211,59629,43038,26012,11500,4399
"0","British Columbia",1997,"F",1983109,21935,94377,124272,127212,125908,128954,146132,162053,173862,165394,146890,117087,90562,78975,76042,71062,58917,40735,22011,10729
"0","British Columbia",1997,"T",3948583,45229,194166,254779,262376,259621,262084,295906,327950,348550,329092,295759,235355,181089,158342,150253,130691,101955,66747,33511,15128
"0","British Columbia",1998,"M",1980518,22014,98152,130565,135485,136548,132090,146298,158954,176113,167022,151490,126072,95010,80172,75276,60911,45338,26249,12134,4625
"0","British Columbia",1998,"F",2002595,21142,92293,124370,127980,128056,127745,144154,157054,175670,169617,150250,124720,94820,80168,76623,70959,61429,41069,23264,11212
"0","British Columbia",1998,"T",3983113,43156,190445,254935,263465,264604,259835,290452,316008,351783,336639,301740,250792,189830,160340,151899,131870,106767,67318,35398,15837
"0","British Columbia",1999,"M",1992579,21782,95175,129551,135409,139006,133068,142252,153773,176351,168772,154300,132434,99703,81381,75840,62135,47580,26299,12938,4830
"0","British Columbia",1999,"F",2018796,20503,89869,123138,127703,130402,128758,141111,152879,176442,172161,154323,131348,99454,81884,76271,70698,63655,41715,24659,11823
"0","British Columbia",1999,"T",4011375,42285,185044,252689,263112,269408,261826,283363,306652,352793,340933,308623,263782,199157,163265,152111,132833,111235,68014,37597,16653
"0","British Columbia",2000,"M",2005377,21319,92117,128299,134752,142318,134006,138366,151073,174465,170583,157023,139786,103721,82979,75776,64006,48374,27623,13891,4900
"0","British Columbia",2000,"F",2033853,20122,87204,121261,127866,132903,129418,137051,151322,174646,174355,158453,138906,103442,83645,76158,71029,63959,43373,26287,12453
"0","British Columbia",2000,"T",4039230,41441,179321,249560,262618,275221,263424,275417,302395,349111,344938,315476,278692,207163,166624,151934,135035,112333,70996,40178,17353
"0","British Columbia",2001,"M",2023380,20949,89474,127137,134559,145332,136706,135452,150879,169965,172487,160147,145919,108466,85541,76107,66122,49257,29426,14257,5198
